Identifier;Name;Description;ApplicationIdentifier;FunctionalApprover;TechnicalAdmin
GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S07-Proprietaires;MyPlace_S07-Propriétaires;;MyPlace_CAA;;
GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-Viaren-Internes;MyPlace_Viaren-Internes;;MyPlace_CAA;;
GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-Viaren-Externes;MyPlace_Viaren-Externes;;MyPlace_CAA;;
GS_A_CA-PACIFICA_PACIFICA_PRD-SPO_RH_PACIFICA_consultation-Internes;MyPlace_RH_PACIFICA_consultation-Internes;;MyPlace_CAA;;
GS_A_CA-PACIFICA_PACIFICA_PRD-SPO_RH_SIRCA_consultation-Internes;MyPlace_RH_SIRCA_consultation-Internes;;MyPlace_CAA;;
GS_A_CA-PACIFICA_PACIFICA_PRD-SPO_RH_VIAREN_consultation-Internes;MyPlace_RH_VIAREN_consultation-Internes;;MyPlace_CAA;;
GS_A_CA-PACIFICA_PACIFICA_PRD-SPO_RH_VIAREN_Contributeurs;MyPlace_RH_VIAREN_Contributeurs;;MyPlace_CAA;;
GS-CA-PACIFICA-APP-IHMPartenaireTessi-Formation-RDR;IHMPartenaireTessi-Formation-Utilisation;;IHM PartenaireTessi;;
GS-CA-PACIFICA-APP-IHMPartenaireTessi-Recette-RDR;IHMPartenaireTessi-Recette-Utilisation;;IHM PartenaireTessi;;
GS-CA-PACIFICA-APP-IHMPartenaireTessi-Préproduction-RDR;IHMPartenaireTessi-Préproduction-Utilisation;;IHM PartenaireTessi;;
GS-CA-PACIFICA-APP-IHMPartenaireTessi-Production-RDR;IHMPartenaireTessi-Production-Utilisation;;IHM PartenaireTessi;;
P_Pacifica Active Directory SIA_Administrateur_Users T0;T0 - Admin domaine - SIA_Administrateur;Compte permettant l'Accès aux administrateurs techniques;Pacifica Active Directory SIA - CyberArk;;
P_Pacifica Active Directory SIA_Administrateur_Users T1;T1 - Admin serveur - SIA_Administrateur;Compte permettant l'Accès aux administrateurs techniques;Pacifica Active Directory SIA - CyberArk;;
T2 AD_Administrateur;T2 - Admin des postes de travail  - AD_Administrateur;Comptes administrateurs T2 dans AD;Pacifica Active Directory GSA;;
ARCS PACIFICA-Production-Superutilisateur;ARCS PACIFICA-Production-Superutilisateur;;ARCS;;
ARCS SIRCA-Production-Visualiseur;ARCS SIRCA-Production-Visualiseur;;ARCS;;
ARCS PACIFICA-Recette-Superutilisateur;ARCS PACIFICA-Recette-Superutilisateur;;ARCS;;
ARCS SIRCA-Recette-Utilisateur;ARCS SIRCA-Recette-Utilisateur;;ARCS;;
ARCS PACIFICA-Recette-Utilisateur;ARCS PACIFICA-Recette-Utilisateur;;ARCS;;
ARCS SIRCA-Recette-Superutilisateur;ARCS SIRCA-Recette-Superutilisateur;;ARCS;;
ARCS SIRCA-Production-Superutilisateur;ARCS SIRCA-Production-Superutilisateur;;ARCS;;
ARCS SIRCA-Production-Utilisateur;ARCS SIRCA-Production-Utilisateur;;ARCS;;
ARCS PACIFICA-Production-Utilisateur;ARCS PACIFICA-Production-Utilisateur;;ARCS;;
P_Oracle Answers_ANSWERS-Recette-PACIFICA-Auteur_ANSWERS-Recette-PACIFICA-Auteur;P_Oracle Answers_ANSWERS-Recette-PACIFICA-Auteur;Accès en lecture/écriture aux analyses;Oracle Answers;;
P_Oracle Answers_ANSWERS-Production-PACIFICA-Auteur_ANSWERS-Production-PACIFICA-Auteur;P_Oracle Answers_ANSWERS-Production-PACIFICA-Auteur;Accès en lecture/écriture aux analyses;Oracle Answers;;
P_Oracle Answers_ANSWERS-Recette-PACIFICA-Consommateur_ANSWERS-Recette-PACIFICA-Consommateur;P_Oracle Answers_ANSWERS-Recette-PACIFICA-Consommateur;Accès en consultation;Oracle Answers;;
P_Oracle Answers_ANSWERS-Production-PACIFICA-Consommateur_ANSWERS-Production-PACIFICA-Consommateur;P_Oracle Answers_ANSWERS-Production-PACIFICA-Consommateur;Accès en consultation;Oracle Answers;;
P_Oracle Answers_ANSWERS-Production-PACIFICA-Consommateur Restreint;P_Oracle Answers_ANSWERS-Production-PACIFICA-Consommateur Restreint;Accès restreint en consultation uniquement;Oracle Answers;;
G_INF_DAPPFL;Données Entreprise Flotte (PFLDTM);Accès aux Données Entreprise Flotte;Décisionnel - Infocentre;;
P_Sésame Production_Rédacteur Assurance Sinistre - S15_S15_RAS;P_Sésame Production_Rédacteur Assurance Sinistre - S15_S15;Rédacteur Assurance Sinistre rattaché é l'entité S15;Sésame Production;;
P_Sésame Production_Assistant Administratif (en UGS) - S15_S15_AAD;P_Sésame Production_Assistant Administratif (en UGS) - S15_S15;Assistant Administratif (en UGS) rattaché é l'entité S15;Sésame Production;;
SIRR12_SIRCA_RESPONSABLE_PAU SAUVAGNON_RISQUES SPECIFIQUES;P_Oracle R12_Comptabilité Sirca-Production-Responsable UGS PAU SAUVAGNON - S15;Ce profil donne le réle UMX SIRR12_Sirca_Responsable_UGS_PAU_SAUVAGNON contenant les responsables;Oracle R12;;
SIRR12_SIRCA_ASSISTANT_PAU SAUVAGNON_RISQUES SPECIFIQUES;P_Oracle R12_Comptabilité Sirca-Production-Assistant UGS PAU SAUVAGNON - S15;Ce profil donne le réle UMX SIRR12_Sirca_Assistant_UGSE_UGS_LA_ROCHE_SUR_YON contenant les responsa;Oracle R12;;
P_OCEAN_Accès DSIN en centre de contact SINISTRE site S15_UGS_SINISTRE_S15_S15 (site physique) S15 (site logique)_;P_OCEAN_Accès DSIN en centre de contact SINISTRE site S15_UGS_SINISTRE_S15_S15;Accès DSIN en centre de contact SINISTRE sur le site physique S13 (site logique S13);OCEAN;;
P_Encadrement UGS_EncadrementS15_Groupéé EncadrementS15;P_Encadrement UGS_EncadrementS15;Accès au répertoire local réservé é l'encadrement de l'UGS S15;Encadrement UGS;;
P_Intranet UGS_Visiteurs de UGS S15_UGS_S15_Visiteurs de UGS S15;P_Intranet UGS_Visiteurs de UGS S15_UGS_S15;Utilisez ce groupe pour accorder des droits de lecture pour le site SharePointé: UGS S15;Intranet UGS;;
P_Sésame Production_Appui Technique Régional (en UGS) - S15_S15_ATR;P_Sésame Production_Appui Technique Régional (en UGS) - S15_S15;Appui Technique Régional (en UGS) rattaché é l'entité S15;Sésame Production;;
P_Sésame Production_Utilisateur d'UGS avec niveau de réglement 010 - S15_S15_RSA;P_Sésame Production_Utilisateur d'UGS avec niveau de réglement 010 - S15_S15;Utilisateur d'UGS avec niveau de réglement 010 rattaché é l'entité S15;Sésame Production;;
P_Sésame Production_Assistant sinistre - S15_S15_CS1;P_Sésame Production_Assistant sinistre - S15_S15;Assistant sinistre rattaché é l'entité S15;Sésame Production;;
P_Sésame Production_Manager Assistant (en UGS) - S15_S15_CS3;P_Sésame Production_Manager Assistant (en UGS) - S15_S15;Manager Assistant (en UGS) rattaché é l'entité S15;Sésame Production;;
P_Sésame Formation_Utilisateur d'UGS avec niveau de réglement 010 - S15_S15_RSA;P_Sésame Formation_Utilisateur d'UGS avec niveau de réglement 010 - S15_S15;Utilisateur d'UGS avec niveau de réglement 010 rattaché é l'entité S15;Sésame Formation;;
P_Sésame Production_Appui Technique en UGS Utilisateur Siége - S15_S15_CS2;P_Sésame Production_Appui Technique en UGS Utilisateur Siége - S15_S15;Appui Technique en UGS,Utilisateur Siége rattaché é l'entité S15;Sésame Production;;
P_Sésame Formation_Rédacteur Assurance Sinistre - S15_S15_RAS;P_Sésame Formation_Rédacteur Assurance Sinistre - S15_S15;Rédacteur Assurance Sinistre rattaché é l'entité S15;Sésame Formation;;
P_Sésame Formation_Manager Assistant (en UGS) - S15_S15_CS3;P_Sésame Formation_Manager Assistant (en UGS) - S15_S15;Manager Assistant (en UGS) rattaché é l'entité S15;Sésame Formation;;
P_Sésame Formation_Assistant Administratif (en UGS) - S15_S15_AAD;P_Sésame Formation_Assistant Administratif (en UGS) - S15_S15;Assistant Administratif (en UGS) rattaché é l'entité S15;Sésame Formation;;
P_Sésame Formation_Assistant sinistre - S15_S15_CS1;P_Sésame Formation_Assistant sinistre - S15_S15;Assistant sinistre rattaché é l'entité S15;Sésame Formation;;
P_Sésame Formation_Appui Technique en UGS Utilisateur Siége - S15_S15_CS2;P_Sésame Formation_Appui Technique en UGS Utilisateur Siége - S15_S15;Appui Technique en UGS, Utilisateur Siége rattaché é l'entité S15;Sésame Formation;;
P_Intranet UGS_Encadrement S15_UGS_S15_Encadrement S15;P_Intranet UGS_Encadrement S15_UGS_S15;Groupe contenant l'encadrement de l'UGS S15;Intranet UGS;;
P_Intranet UGS_Propriétaires de UGS S15_UGS_S15_Propriétaires de UGS S15;P_Intranet UGS_Propriétaires de UGS S15_UGS_S15;Utilisez ce groupe pour accorder des droits de contréle total pour le site SharePointé: UGS S15;Intranet UGS;;
P_Intranet UGS_Assistantes administratives S15_UGS_S15_Assistantes administratives S13;P_Intranet UGS_Assistantes administratives S15_UGS_S15;Accès en lecture / écriture é l'intranet UGS S15;Intranet UGS;;
P_Sésame Formation_Appui Technique Régional (en UGS) - S15_S15_ATR;P_Sésame Formation_Appui Technique Régional (en UGS) - S15_S15;Appui Technique Régional (en UGS) rattaché é l'entité S15;Sésame Formation;;
P_MyJobs_Manager recruteur_S15_Manager recruteur;P_MyJobs_Manager recruteur_S15;Manager recruteur sur le périmétre S15;MyJobs;;
P_Intranet UGS_Membres de UGS S15_UGS_S15_Membres de UGS S15;P_Intranet UGS_Membres de UGS S15_UGS_S15;Utilisez ce groupe pour accorder des droits de contribution pour le site SharePointé: UGS S15;Intranet UGS;;
GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S15-Encadrement;MyPlace_S15-Encadrement;;MyPlace_CAA;;
GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S15-Proprietaires;MyPlace_S15-Propriétaires;;MyPlace_CAA;;
GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S15-Contributeurs;MyPlace_S15-Contributeurs;;MyPlace_CAA;;
GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S15-Visiteurs;MyPlace_S15-Visiteurs;;MyPlace_CAA;;
G_OSIRIS_CAAS_RESQ;OSIRIS_CAAS_DT_RESQ;;Osiris;;
PACIFICA - Contréleurs CS Prélévements;P_DIAPASON Production - Périmétre PACIFICA - Contréleurs CS Prélévements;Périmétres PACIFICA-Contréleurs CS Prélévements;DIAPASON Production;;
PCKR12_DFI_CONTRéLE DE GESTION;P_Oracle R12_Comptabilité Pacifica-Recette-DFI Contréle de gestion;;Oracle R12 Recette;;
GS_PACIFICA_WINCHAPPS;WINCHAPPS-PACIFICA-Production-Utilisateur;;WINCHAPPS;;
PCKR12_DFI_RESPONSABLE RPR;P_Oracle R12_Comptabilité Pacifica-Production-DFI Responsable RPR;;Oracle R12;;
PCKR12_ASSISTANT_ COMPTABILITé_ SOCIALE;P_Oracle R12_Comptabilité Pacifica-Recette-Assistant Comptabilité Sociale;;Oracle R12 Recette;;
PCK_CAAS_CSP_FACTURATION;P_Oracle R12_Comptabilité Pacifica-Recette-CSP-FACTURATION;;Oracle R12 Recette;;
PCKR12_DFI_ASSISTANTE;P_Oracle R12_Comptabilité Pacifica-Recette-DFI Assistante;;Oracle R12 Recette;;
PCKR12_DFI_MOA;P_Oracle R12_Comptabilité Pacifica-Recette-DFI MOA;;Oracle R12 Recette;;
PCKR12_DFI_PARTENARIAT;P_Oracle R12_Comptabilité Pacifica-Recette-DFI Partenariat;;Oracle R12 Recette;;
PCKR12_DFI_RéASSURANCE;P_Oracle R12_Comptabilité Pacifica-Recette-DFI Réassurance;;Oracle R12 Recette;;
PCKR12_DFI_REPORT PLACEMENT;P_Oracle R12_Comptabilité Pacifica-Recette-DFI Report Placement;;Oracle R12 Recette;;
PCKR12_DFI_RESPONSABLE CGGP;P_Oracle R12_Comptabilité Pacifica-Recette-DFI Responsable CGGP;;Oracle R12 Recette;;
PCKR12_DFI_RESPONSABLE RPR;P_Oracle R12_Comptabilité Pacifica-Recette-DFI Responsable RPR;;Oracle R12 Recette;;
PCKR12_RESPONSABLE_COMPTABILITé_SOCIALE;P_Oracle R12_Comptabilité Pacifica-Recette-Responsable Comptabilité Sociale;;Oracle R12 Recette;;
PCKR12_PACIFICA_RESPONSABLE_DIRECTION_FINANCIERE;P_Oracle R12_Comptabilité Pacifica-Recette-Responsable DIRECTION FINANCIERE;;Oracle R12 Recette;;
PCKR12_DFI_RéSULTATS TEC COM;P_Oracle R12_Comptabilité Pacifica-Recette-Résultats tec com;;Oracle R12 Recette;;
GS_POWERBI_TDB_EQPT_CLIENT;Consultation - Tableau de bord Equipement Client;https://powerbi.cagip.group.gca/Reports/browse/CAA/Corporate/Equipement Client;Décisionnel - PowerBI;;
PCKR12_PACIFICA_PRODUCTION_ PO_POST_EASY;P_Oracle R12_Comptabilite Pacifica-Production-PO POST EASY;PCK-PO POST EASY;Oracle R12;;
VIAREN - Signataires Validation Centrale;P_DIAPASON Recette - Périmétre VIAREN - Signataires Validation Centrale;DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Recette;;
VIAREN - Signataires Responsables;P_DIAPASON Recette - Périmétre VIAREN - Signataires Responsables;DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Recette;;
VIAREN - Signataires Directeurs Adjoints;P_DIAPASON Recette - Périmétre VIAREN - Signataires Directeurs Adjoints;DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Recette;;
VIAREN - Signataires Directeurs;P_DIAPASON Recette - Périmétre VIAREN - Signataires Directeurs;DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Recette;;
VIAREN - Signataires Directeur Général;P_DIAPASON Recette - Périmétre VIAREN - Signataire Directeur Général;DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Recette;;
VIAREN - Signataire flux Pacifica;P_DIAPASON Recette - Périmétre VIAREN - Signataire flux Pacifica;DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Recette;;
VIAREN - Saisisseurs;P_DIAPASON Recette - Périmétre VIAREN - Saisisseurs;DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale;DIAPASON Recette;;
