Name;City;Code;Company;Site;Street;Full name;Ou;Parent;State / Province;Zip / Postal Code
R01 - Le mans Viaren;Le mans;R01;VIAREN;ViaRen;25 avenue du Panorama;UGS/R01 - Le mans Viaren;OU=R01;UGS;VIAREN LE MANS;72100
PG1 - Poitiers;Poitiers;PG1;PACIFICA;Poitiers;;UGS/PG1 -Poitiers;OU=PG1;UGS;PACIFICA POITIERS;
S15 - Pau Sauvagnon;Pau Sauvagnon;S15;SIRCA;Dijon;;UGS/S15 - Pau Sauvagnon;OU=S15;UGS;SIRCA PAU SAUVAGNON;21000
S02 - Lyon;Lyon;S02;SIRCA;Lyon;Les Jardins d'entreprise - Bat J - 213 Rue de Gerland;UGS/S02 - Lyon;OU=S02;UGS;SIRCA LYON;69007
F01 - Paris Falguière;Paris;F01;PACIFICA;Falguière;31 rue Falguière, 2ème étage;SIEGE/F01 à Paris Falguière;OU=Pacifica;SIEGE;SIRCA PARIS;75015
N01 - Nord Pont ;Paris;N01;PACIFICA;Nord Pont;7-11 place des 5 martyrs du lycée Buffon;SIEGE/N01 - Nord Pont ;OU=Pacifica;SIEGE;PACIFICA PARIS;75014
SE1 - Poitiers;Poitiers;SE1;SIRCA;Poitiers;1 avenue Galilée - Immeuble Arobase 7 bis;UGS/SE1- Poitiers;OU=SE1;UGS;POITIERS ENTREPRISE;86960
S08 - Poitiers;Poitiers;S08;SIRCA;Poitiers;1 avenue Galilée - Immeuble Arobase 7 bis;UGS/S08 - Poitiers;OU=S08;UGS;SIRCA UGS POITIERS;86960
S14 - Dijon;Dijon;S14;SIRCA;Dijon;;UGS/S14 - Dijon;OU=S14;UGS;SIRCA DIJON;21000
SR2 - Saint-Etienne;Saint-Etienne;SR2;SIRCA;UGR St Etienne;Bât B - 28 Boulevard Pierre-Antoine et Jean-Michel Dalgabio;UGS/SR2 - Saint-Etienne;OU=SR2;UGS;SIRCA SAINT ETIENNE;42000 
SJ5 - Caen;Caen;SJ5;SIRCA;Caen PJ;24 Grande rue Fleury-sur-orne;UGS/SJ5 - Caen;OU=SJ5;UGS;SIRCA CAEN;14123
SJ6 - Grenoble (PJ);Grenoble;SJ6;SIRCA;Grenoble PJ;;UGS/SJ6 - Grenoble (PJ);OU=SJ6;UGS;SIRCA GRENOBLE;38000
S04 - Clermont-Ferrand;Clermont-Ferrand;S04;SIRCA;Clermont-Ferrand;42 rue de Sarliève;UGS/S04 - Clermont-Ferrand;OU=S04;UGS;SIRCA CLERMONT FERRAND;63800
SJ2 - Aix (PJ);Aix;SJ2;SIRCA;Aix PJ;ZAC de la Duranne - 95 avenue Galilée;UGS/SJ2 - Aix (PJ);OU=SJ2;UGS;SIRCA AIX PJ;13100
S09 - Metz;Metz;S09;SIRCA;Metz;1 rue de la grange au Bois;UGS/S09 - Metz;OU=S09;UGS;SIRCA METZ;57072
S01 - Rouen (IARD);Rouen;S01;SIRCA;Rouen;8 rue charpak;UGS/S01 - Rouen (IARD);OU=S01;UGS;SIRCA ROUEN IARD;76137
SJ4 - Bordeaux;Bordeaux;SJ4;SIRCA;Bordeaux PJ;Immeuble Bordeaux Plaza - 1 place Ravezies;UGS/SJ4 - Bordeaux;OU=SJ4;UGS;SIRCA BORDEAUX;33000
S11 - Strasbourg (IARD);Strasbourg;S11;SIRCA;Strasbourg;11 A rue de Madrid;UGS/S11 - Strasbourg (IARD);OU=S11;UGS;SIRCA STRASBOURG;67300
S13 - La Roche Sur Yon;La Roche sur Yon;S13;SIRCA;La Roche sur Yon;123 Boulevard Louis Blanc;UGS/S13 - La Roche Sur Yon;OU=S13;UGS;SIRCA LA ROCHE SUR YON;85000
SJ1 - Rouen (PJ);Rouen;SJ1;SIRCA;Rouen PJ;Zac de la Bretéque - 195 rue Louis Blériot;UGS/SJ1 - Rouen (PJ);OU=SJ1;UGS;SIRCA ROUEN PJ;76203
SR1 - Montpellier;Montpellier;SR1;SIRCA;UGR Montpellier;Parc club du Millenaire Bat 20 - 1025 rue Henri Bequerel;UGS/SR1 - Montpellier;OU=SR1;UGS;SIRCA MONTPELLIER SPE;34000
S12 - Arras (IARD);Arras;S12;SIRCA;Arras;ZAC des Rosati 1 Allée du Vélodrome;UGS/S12 - Arras (IARD);OU=S12;UGS;SIRCA ARRAS BONNETTES;62223
S06 - Montpellier;Montpellier;S06;SIRCA;Montpellier;Parc club du Millenaire Bat 20 - 1025 rue Henri Bequerel;UGS/S06 - Montpellier;OU=S06;UGS;SIRCA MONTPELLIER;34000
S10 - Aix (IARD);Aix;S10;SIRCA;Aix;ZAC des Pichaury - 1330 avenue Guillibert Gautier de la Lauzière;UGS/S10 - Aix (IARD);OU=S10;UGS;SIRCA AIX EN PROVENCE IARD;13855
S05 - Rennes (IARD);Rennes;S05;SIRCA;Rennes;9, rue de la Sauvaie;UGS/S05 - Rennes (IARD);OU=S05;UGS;SIRCA RENNES;35000
