command,dn,member
insert,"CN=Users,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=S-1-5-4,CN=ForeignSecurityPrincipals,DC=ca-pacificadev,DC=fr"
insert,"CN=Users,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=ca-pacificadev,DC=fr"
insert,"CN=Users,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=Domain Users,CN=Users,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=T0-APCK008053,OU=Comptes,OU=Developpement,OU=Tier0,OU=ADMINISTRATION,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=T0-APCK007069,OU=Comptes,OU=Developpement,OU=Tier0,OU=ADMINISTRATION,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=adm.tcc,OU=ADM,OU=ComptesTechniques,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=CS_NESSUS_DEV,OU=Services,OU=ComptesTechniques,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=T0-APCK008408,OU=Comptes,OU=Developpement,OU=Tier0,OU=ADMINISTRATION,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=T0-APCK001709,OU=Comptes,OU=Developpement,OU=Tier0,OU=ADMINISTRATION,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=adm.hbe,OU=ADM,OU=ComptesTechniques,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=T0-APCK000646,OU=Comptes,OU=Developpement,OU=Tier0,OU=ADMINISTRATION,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=adm_rayan.benmoussa,OU=ADM,OU=ComptesTechniques,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=T0-APCK008823,OU=Comptes,OU=Developpement,OU=Tier0,OU=ADMINISTRATION,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=adm.aay,OU=ADM,OU=ComptesTechniques,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=adm_mohamed.benchaabene,OU=ADM,OU=ComptesTechniques,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=CS_VLOCITY_POC,OU=Services,OU=ComptesTechniques,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=T0-APCK009476,OU=Comptes,OU=Developpement,OU=Tier0,OU=ADMINISTRATION,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=CG_TCC_admin,OU=Generiques,OU=ComptesTechniques,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=Administrator,CN=Users,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=adm_mohamed.cheikh,OU=ADM,OU=ComptesTechniques,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=T0-APCK009066,OU=Comptes,OU=Developpement,OU=Tier0,OU=ADMINISTRATION,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=adm.bcr,OU=ADM,OU=ComptesTechniques,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=adm_mouadh.bejaoui,OU=ADM,OU=ComptesTechniques,DC=ca-pacificadev,DC=fr"
insert,"CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr","CN=adm.jch,OU=ADM,OU=ComptesTechniques,DC=ca-pacificadev,DC=fr"
insert,"CN=Event Log Readers,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=GS_GMSA_ADD_Pls,CN=Managed Service Accounts,DC=ca-pacificadev,DC=fr"
insert,"CN=Event Log Readers,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=ADAudit Plus-Permiss,CN=Users,DC=ca-pacificadev,DC=fr"
insert,"CN=Protected Users,CN=Users,DC=ca-pacificadev,DC=fr","CN=T0-APCK001709,OU=Comptes,OU=Developpement,OU=Tier0,OU=ADMINISTRATION,DC=ca-pacificadev,DC=fr"
insert,"CN=Protected Users,CN=Users,DC=ca-pacificadev,DC=fr","CN=T0-APCK000646,OU=Comptes,OU=Developpement,OU=Tier0,OU=ADMINISTRATION,DC=ca-pacificadev,DC=fr"
insert,"CN=Certificate Service DCOM Access,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=ca-pacificadev,DC=fr"
insert,"CN=Windows Authorization Access Group,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=Exchange Servers,OU=Microsoft Exchange Security Groups,DC=ca-pacificadev,DC=fr"
insert,"CN=Windows Authorization Access Group,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=ca-pacificadev,DC=fr"
insert,"CN=Group Policy Creator Owners,CN=Users,DC=ca-pacificadev,DC=fr","CN=ADAudit Plus-Permiss,CN=Users,DC=ca-pacificadev,DC=fr"
insert,"CN=Group Policy Creator Owners,CN=Users,DC=ca-pacificadev,DC=fr","CN=Administrator,CN=Users,DC=ca-pacificadev,DC=fr"
insert,"CN=Remote Desktop Users,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=at1.s07,OU=S07,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Remote Desktop Users,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=re1.s07,OU=S07,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Remote Desktop Users,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=a1.s07,OU=S07,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Remote Desktop Users,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=a3.s07,OU=S07,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Remote Desktop Users,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=ma1.s07,OU=S07,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Remote Desktop Users,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=ma2.s07,OU=S07,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Remote Desktop Users,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=a2.s07,OU=S07,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Remote Desktop Users,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=aa1.s07,OU=S07,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=ca-pacificadev,DC=fr"
insert,"CN=Denied RODC Password Replication Group,CN=Users,DC=ca-pacificadev,DC=fr","CN=Read-only Domain Controllers,CN=Users,DC=ca-pacificadev,DC=fr"
insert,"CN=Denied RODC Password Replication Group,CN=Users,DC=ca-pacificadev,DC=fr","CN=Group Policy Creator Owners,CN=Users,DC=ca-pacificadev,DC=fr"
insert,"CN=Denied RODC Password Replication Group,CN=Users,DC=ca-pacificadev,DC=fr","CN=Cert Publishers,CN=Users,DC=ca-pacificadev,DC=fr"
insert,"CN=Denied RODC Password Replication Group,CN=Users,DC=ca-pacificadev,DC=fr","CN=Enterprise Admins,CN=Users,DC=ca-pacificadev,DC=fr"
insert,"CN=Denied RODC Password Replication Group,CN=Users,DC=ca-pacificadev,DC=fr","CN=Domain Controllers,CN=Users,DC=ca-pacificadev,DC=fr"
insert,"CN=Denied RODC Password Replication Group,CN=Users,DC=ca-pacificadev,DC=fr","CN=krbtgt,CN=Users,DC=ca-pacificadev,DC=fr"
insert,"CN=Denied RODC Password Replication Group,CN=Users,DC=ca-pacificadev,DC=fr","CN=Schema Admins,CN=Users,DC=ca-pacificadev,DC=fr"
insert,"CN=Denied RODC Password Replication Group,CN=Users,DC=ca-pacificadev,DC=fr","CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr"
insert,"CN=Administrators,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=Enterprise Admins,CN=Users,DC=ca-pacificadev,DC=fr"
insert,"CN=Administrators,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=cs_ivanti_dev,OU=Services,OU=ComptesTechniques,DC=ca-pacificadev,DC=fr"
insert,"CN=Administrators,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=Administrator,CN=Users,DC=ca-pacificadev,DC=fr"
insert,"CN=Administrators,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=Domain Admins,CN=Users,DC=ca-pacificadev,DC=fr"
insert,"CN=Guests,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=Domain Guests,CN=Users,DC=ca-pacificadev,DC=fr"
insert,"CN=Guests,CN=Builtin,DC=ca-pacificadev,DC=fr","CN=Guest,OU=old,DC=ca-pacificadev,DC=fr"
insert,"CN=G_USR_Commun_UtilisateursW7,OU=Windows7,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=rafik.mezil,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=DSI.ITD.IIR.Infrastructure-Externes,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=rafik.mezil,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_DSI_Externes,OU=DSI,OU=Pacifica,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=rafik.mezil,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_infra_dsi_itd_II_infrastructure_2010,OU=Infra,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=rafik.mezil,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_USR_Commun_UtilisateursW7_S00,OU=Windows7,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=rafik.mezil,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Clarity,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=rafik.mezil,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Exchange Organization Administrators,OU=Microsoft Exchange Security Groups,DC=ca-pacificadev,DC=fr","CN=adm.hbe,OU=ADM,OU=ComptesTechniques,DC=ca-pacificadev,DC=fr"
insert,"CN=Exchange Organization Administrators,OU=Microsoft Exchange Security Groups,DC=ca-pacificadev,DC=fr","CN=CG_TCC_admin,OU=Generiques,OU=ComptesTechniques,DC=ca-pacificadev,DC=fr"
insert,"CN=Organization Management,OU=Microsoft Exchange Security Groups,DC=ca-pacificadev,DC=fr","CN=adm.tcc,OU=ADM,OU=ComptesTechniques,DC=ca-pacificadev,DC=fr"
insert,"CN=Organization Management,OU=Microsoft Exchange Security Groups,DC=ca-pacificadev,DC=fr","CN=adm.hbe,OU=ADM,OU=ComptesTechniques,DC=ca-pacificadev,DC=fr"
insert,"CN=Organization Management,OU=Microsoft Exchange Security Groups,DC=ca-pacificadev,DC=fr","CN=adm.gaia,OU=ADM,OU=ComptesTechniques,DC=ca-pacificadev,DC=fr"
insert,"CN=Organization Management,OU=Microsoft Exchange Security Groups,DC=ca-pacificadev,DC=fr","CN=CG_TCC_admin,OU=Generiques,OU=ComptesTechniques,DC=ca-pacificadev,DC=fr"
