Identifier,Name,Description,IsActive,FunctionalApprover,TechnicalAdmin,ProvisioningType,AddressMailPartner
AlpagaPortailCR,AlpagaPortailCR,,,IAM_AR_AlpagaPortailCR,IAM_TA_AlpagaPortailCR,Tâche,
Alpaga,Alpaga,,,IAM_AR_Alpaga,IAM_TA_Alpaga,Tâche,
Réclamations,Réclamations,,,IAM_AR_Réclamations,IAM_TA_Réclamations,Tâche,
FCCS,FCCS,,,IAM_AR_FCCS,IAM_TA_FCCS,Tâche,
ARCS,ARCS,,,IAM_AR_ARCS,IAM_TA_ARCS,Tâche,
PeopleAssist,PeopleAssist,,,,,AD,
DSIN - PowerBI,DSIN - PowerBI,,,IAM_AR_Piano_Analytics,,AD,
CustomerRoom,CustomerRoom,,,,,AD,
MyPlace_CAA,MyPlace_CAA,,,-Niveau role-,,AD,
GENESYS,GENESYS,,,IAM_AR_GENESYS,IAM_TA_GENESYS,Tâche,
SVI,SVI,,,,,Tâche,
PPM - PowerBI,PPM - PowerBI,,,IAM_AR_PPM_PBI,,AD,
Reporting Directeur - PowerBI,Reporting Directeur - PowerBI,,,IAM_AR_Reporting_Directeur,,AD,
Piano Analytics - PowerBI,Piano Analytics - PowerBI,,,IAM_AR_Piano_Analytics,,AD,
CARISMA,CARISMA,,,IAM_AR_CARISMA,IAM_TA_CARISMA,Tâche,
KEYCLOAK_IDP,KEYCLOAK_IDP,,,IAM_AR_KEYCLOAK_IDP,IAM_TA_KEYCLOAK_IDP,Tâche,
PILOT,PILOT,,,IAM_AR_PILOT,IAM_TA_PILOT,Tâche,
CASIRIS,CASIRIS,,,IAM_AR_CASIRIS,IAM_TA_CASIRIS,Tâche,
DSD SAS,DSD SAS,,,IAM_TA_DSD_SAS,,AD,
DSD QlikView,DSD QlikView,,,IAM_TA_DSD_QLIKVIEW,,AD,
DSD Python,DSD Python,,,IAM_TA_DSD_PYTHON,,AD,
DSD QlikSense,DSD QlikSense,,,IAM_TA_DSD_QLIKSENSE,,AD,
DSD QlikNPrinting,DSD QlikNPrinting,,,IAM_TA_DSD_QLIKNPRINTING,,AD,
DSD Gitlab,DSD Gitlab,,,IAM_TA_DSD_GITLAB,,AD,
DSD Indexima,DSD Indexima,,,IAM_TA_DSD_INDEXIMA,,AD,
DSD Automic,DSD Automic,,,IAM_TA_DSD_AUTOMIC,,AD,
