CODE,SOCIETE,TYPE
ABANCA Seguros,ABANCA Seguros,AM
AMUNDI,AMUNDI,RCA
APL,APL,CDS
BGPI,BGPI,RCA
CA LIFE Greece,CA LIFE Greece,AM
CA Life Japan,CA Life Japan,AM
CA VITA & Assicurazioni,CA VITA & Assicurazioni,AM
CA Zycie,CA Zycie,AM
CA-GIP,CA-GIP,RCA
CA-IMMO,CA-IMMO,RCA
CA-TS,CA-TS,RCA
CAAS,CREDIT AGRICOLE ASSURANCES SOLUTIONS,AA
CACF,CACF,RCA
CACI International,CACI International,AM
CALIE LU,CALIE LU,AM
CALX,CALX,RCA
CAMCA,CAMCA,AM
CDS CAPGEMINI,CDS CAPGEMINI,CDS
CRCA,CRCA,RCA
CSC (DXC),CSC (DXC),CDS
GFP,GFP,CDS
LA MEDICALE AGENCE,LA MEDICALE AGENCE,RCA
LA-MEDICALE,LA-MEDICALE,AM
LCL,LCL,RCA
LIFESIDE,LIFESIDE,RCA
MUDUM Seguros,MUDUM Seguros,AM
NEXECUR,NEXECUR,RCA
PREVISEO,PREVISEO,AM
Pacifica,PACIFICA,AA
SELLIGENT,SELLIGENT,CDS
SOPRA avec SOPRA India,SOPRA avec SOPRA India,CDS
SOPRESA,SOPRESA,CDS
SPIRICA,SPIRICA,RCA
Sirca,SIRCA,AA
TESSI,TESSI,CDS
Viaren,VIAREN,AA
Viavita,VIAVITA,AA
