City,Code,Company,Name,State / Province,Ou
Paris,F01,PACIFICA,F01 - Paris Falguière,SIRCA PARIS,OU=Pacifica
Paris,N01,PACIFICA,N01 - Nord Pont,PACIFICA PARIS,OU=Pacifica
Poitiers,PG1,PACIFICA,PG1 - Poitiers,PACIFICA POITIERS,OU=PG1
Le mans,R01,VIAREN,R01 - Le mans Viaren,VIAREN LE MANS,OU=R01
Paris,S00,PACIFICA,S00 - Paris Europarnasse,PACIFICA PARIS,OU=Pacifica
Rouen,S01,SIRCA,S01 - Rouen (IARD),SIRCA ROUEN IARD,OU=S01
Lyon,S02,SIRCA,S02 - Lyon,SIRCA LYON,OU=S02
Pau,S03,SIRCA,S03 - Pau,SIRCA PAU,OU=S03
Clermont-Ferrand,S04,SIRCA,S04 - Clermont-Ferrand,SIRCA CLERMONT FERRAND,OU=S04
Rennes,S05,SIRCA,S05 - Rennes (IARD),SIRCA RENNES,OU=S05
Montpellier,S06,SIRCA,S06 - Montpellier,SIRCA MONTPELLIER,OU=S06
Orleans,S07,SIRCA,S07 - Orleans,SIRCA ORLEANS,OU=S07
Poitiers,S08,SIRCA,S08 - Poitiers,SIRCA UGS POITIERS,OU=S08
Metz,S09,SIRCA,S09 - Metz,SIRCA METZ,OU=S09
Aix,S10,SIRCA,S10 - Aix (IARD),SIRCA AIX EN PROVENCE IARD,OU=S10
Strasbourg,S11,PACIFICA,C02 - Strasbourg,PACIFICA STRASBOURG,OU=S11
Arras,S12,SIRCA,S12 - Arras (IARD),SIRCA ARRAS BONNETTES,OU=S12
La Roche sur Yon,S13,SIRCA,S13 - La Roche Sur Yon,SIRCA LA ROCHE SUR YON,OU=S13
Dijon,S14,SIRCA,S14 - Dijon,SIRCA DIJON,OU=S14
Pau Sauvagnon,S15,SIRCA,S15 - Pau Sauvagnon,SIRCA PAU SAUVAGNON,OU=S15
Saint Etienne,S80,GECO,S80 - UGS-Externe,,OU=S80
Poitiers,SE1,SIRCA,SE1 - Poitiers,POITIERS ENTREPRISE,OU=SE1
Rouen,SJ1,SIRCA,SJ1 - Rouen (PJ),SIRCA ROUEN PJ,OU=SJ1
Aix,SJ2,SIRCA,SJ2 - Aix (PJ),SIRCA AIX PJ,OU=SJ2
Cesson,SJ3,SIRCA,SJ3 - Rennes (PJ),SIRCA CESSON SEVIGNE PJ,OU=SJ3
Bordeaux,SJ4,SIRCA,SJ4 - Bordeaux,SIRCA BORDEAUX,OU=SJ4
Caen,SJ5,SIRCA,SJ5 - Caen,SIRCA CAEN,OU=SJ5
Grenoble,SJ6,SIRCA,SJ6 - Grenoble (PJ),SIRCA GRENOBLE,OU=SJ6
Montpellier,SR1,SIRCA,SR1 - Montpellier,SIRCA MONTPELLIER SPE,OU=SR1
Saint-Etienne,SR2,SIRCA,SR2 - Saint-Etienne,SIRCA SAINT ETIENNE,OU=SR2
Le mans,T01,VIAVITA,T01 - Le Mans Viavita,,OU=T01
