Description,FunctionalApprover,Identifier,Name,TechnicalAdmin
ADMINISTRATEUR,,ADMIN,PILOT_ADMINISTRATEUR,
Permet l'Accès au serveur é Bdoc Design / Conception,,ADMINISTRATEURS,P_BDOC Design_Compte systéme Windows_administrateur_Serveur Bdoc_ITD / P3S,
,,ARCS PACIFICA-Production-Superutilisateur,ARCS PACIFICA-Production-Superutilisateur,
,,ARCS PACIFICA-Production-Utilisateur,ARCS PACIFICA-Production-Utilisateur,
,,ARCS PACIFICA-Recette-Superutilisateur,ARCS PACIFICA-Recette-Superutilisateur,
,,ARCS PACIFICA-Recette-Utilisateur,ARCS PACIFICA-Recette-Utilisateur,
,,ARCS SIRCA-Production-Superutilisateur,ARCS SIRCA-Production-Superutilisateur,
,,ARCS SIRCA-Production-Utilisateur,ARCS SIRCA-Production-Utilisateur,
,,ARCS SIRCA-Production-Visualiseur,ARCS SIRCA-Production-Visualiseur,
,,ARCS SIRCA-Recette-Superutilisateur,ARCS SIRCA-Recette-Superutilisateur,
,,ARCS SIRCA-Recette-Utilisateur,ARCS SIRCA-Recette-Utilisateur,
AUGO,,AUGO,PILOT_GESTIONNAIRE_UGO,
Profil technique Acheteur,,Acheteur,P_EASY_Acheteur,
Administration de l'application SBC,,Admin,SBC-Production-Administrateurs,
,,Administrateur,Administrateur Triskell,
,,Administrateur PACIFICA,Administrateur PACIFICA,
Administrateur Pacifica,,Administrateur Pacifica,CASIRIS_ADMINISTRATEUR,
Administrateur de Quality Center,,Administrateur QC,P_Quality Center_Administrateur QC,
,,Administrateur VSE,Administrateur VSE,
Administrateur fonctionnel DMAP,,Administrateur fonctionnel DMAP,Hermes-PACIFICA-Production-AdministrateurFonctionnelDMAP,
Profil pour administrateur local,,Administrateur local,P_EASY_Administrateur local,
Administrateur permissions,,Administrateur permissions,Hermes-PACIFICA-Production-AdministrateurPermissions,
Administrateur technique,,Administrateur technique,Hermes-PACIFICA-Production-AdministrateurTechnique,
A compléter,,Administratif,Administratif,
"Profil technique - Dispose d'une autorisation compléte pour administrer l'environnement, notamment pour vider le cache internet.",,AlpagaPortailCR_Administrateur,AlpagaPortailCR_Administrateur,
"Profil Métier é Dispose d'une autorisation pour visualiser, créer, modifier et supprimer les enregistrements tels que définis fonctionnellement par le Métier. Ce profil applicatif (appelé é réle Web é dans Microsoft Power Pages) est paramétré par l'Administrateur systéme d'Alpaga.",,AlpagaPortailCR_Prévention,AlpagaPortailCR_Prévention,
"Profil technique - Dispose d'une autorisation compléte pour personnaliser ou administrer l'environnement, notamment pour créer, modifier et attribuer des réles de sécurité. Peut afficher toutes les données de l'environnement.",,Alpaga_Administrateur_Systéme,Alpaga_Administrateur_Systéme,
"Profil Métier é Dispose d'une autorisation pour visualiser, créer, modifier et supprimer les enregistrements tels que définis fonctionnellement par le Métier. Ce profil applicatif (appelé é réle de sécurité é dans Microsoft Power Apps) est paramétré par l'Administrateur systéme.",,Alpaga_Chargé_Prévention,Alpaga_Chargé_Prévention,
"Profil technique - Peut créer des ressources associées é un environnement, incluant des applications, des connexions, des API personnalisées, des passerelles, et des flux. Cependant, ce réle ne dispose d'aucun privilége pour Accèder aux données d'un environnement.",,Alpaga_Environment_Maker,Alpaga_Environment_Maker,
"Profil technique - Dispose d'une autorisation compléte pour personnaliser l'environnement. Peut visualiser toutes les données des tables personnalisées dans l'environnement. Cependant, les utilisateurs dotés de ce réle ne peuvent qu'afficher les enregistrements qu'ils créent dans les tables Compte, Contact et Activité.",,Alpaga_System_Customizer,Alpaga_System_Customizer,
Animateur consommation digitale,,Animateur consommation digitale,Animateur consommation digitale,
"Modifier et approuver des pages, des éléments de listes et des documents",,Approbateurs,Hermes-PACIFICA-Production-Approbateurs,
Analyse les dossiers et fait partie du péle PAE( péle assistants engagements),,Assisteur DMAP,Hermes-PACIFICA-Production-AssisteurDMAP,
Vendeur en caisse régionale,,AssurPME,CARISMA_ AssurPME,
,,Auditeur,Auditeur,
Accès é l'univers Automobile du portail Extranet Europ Assistance France,,Auto,Auto,
Profil technique Correspondant externalisation,,C.externalisation,P_EASY_C.externalisation,
,,"CN=@CIRM-Externes,OU=Distribution,OU=Groupes,dc=ca-pacifica,dc=fr",@CIRM-Externes,
Cette typologie de compte est pour les concepteur de flot et de modéle BDOC,,CONCEPTEUR_FLUX,P_BDOC Design_Compte applicatif_concepteur_Bdoc Design_DSI,
Cette typologie de compte est pour les adminstrateurs des Accès et des droits ainsi que les interve,,CONCEPTEUR_MODELE,P_BDOC Design_Compte applicatif_Concepteur modele_Bdoc Design_ITD / P3S,
,,CR_802_Nord Est,CR_802_Nord Est,
,,CR_810_CA CB,CR_810_CA CB,
,,CR_817_CA CMDS,CR_817_CA CMDS,
,,CR_822_Cotes d'Armor,CR_822_Cotes d'Armor,
,,CR_835_Languedoc,CR_835_Languedoc,
,,CR_836_Ile et Vilaine,CR_836_Ile et Vilaine,
,,CR_839_Sud Rhéne Alpes,CR_839_Sud Rhéne Alpes,
,,CR_844_Val de France,CR_844_Val de France,
,,CR_845_Loire haute Loire,CR_845_Loire haute Loire,
,,CR_847_Atlantique Vendée,CR_847_Atlantique Vendée,
,,CR_848_Centre Loire,CR_848_Centre Loire,
,,CR_860_Morbihan,CR_860_Morbihan,
,,CR_861_Lorraine,CR_861_Lorraine,
,,CR_866_Normandie,CR_866_Normandie,
,,CR_867_Nord de France,CR_867_Nord de France,
,,CR_868_Centre France,CR_868_Centre France,
,,CR_871_Sud Méditerranée,CR_871_Sud Méditerranée,
,,CR_872_Alsace Vosges,CR_872_Alsace Vosges,
,,CR_878_Centre est,CR_878_Centre est,
,,CR_879_Anjou Maine,CR_879_Anjou Maine,
,,CR_881_Savoie,CR_881_Savoie,
,,CR_887_Brie Picardie,CR_887_Brie Picardie,
,,CR_891_Provence-Cote d_Azur,CR_891_Provence-Cote d_Azur,
,,CR_894_Touraine Poitou,CR_894_Touraine Poitou,
,,CR_895_Centre Ouest,CR_895_Centre Ouest,
,,CR_900_Guadeloupe,CR_900_Guadeloupe,
,,CR_902_Martinique-Guyane,CR_902_Martinique-Guyane,
,,CR_903_Réunion,CR_903_Réunion,
,,CR_998_Finaxy,CR_998_Finaxy,
,,CR_999_Caisse Fictive,CR_999_Caisse Fictive,
Communication APLC,,Communication APLC,Communication APLC,
Comptabilite Droit Commun-CAS-Production-Comptabilite-Consultation,,Comptabilite Droit Commun-CAS-Production-Comptabilite-Consultation,Comptabilite Droit Commun-CAS-Production-Comptabilite-Consultation,
A compléter,,Conseiller client,Conseiller client,
Consultation,,Consultation,CASIRIS_CONSULTATION,
Consultation  DFI,,Consultation DFI,CASIRIS_CONSULTATION_DFI,
,,Correspondant certificat,Correspondant certificat,
,,Demandeur,Demandeur,
,,EVERYONE,P_BDOC Design_Compte applicatif_Everyone_Bdoc Design_ITD / P3S,
,,FCCS PACIFICA-Production-Superutilisateur,FCCS PACIFICA-Production-Superutilisateur,
,,FCCS PACIFICA-Production-Utilisateur,FCCS PACIFICA-Production-Utilisateur,
,,FCCS PACIFICA-Production-Visualiseur,FCCS PACIFICA-Production-Visualiseur,
,,FCCS PACIFICA-Recette-Superutilisateur,FCCS PACIFICA-Recette-Superutilisateur,
,,FCCS PACIFICA-Recette-Utilisateur,FCCS PACIFICA-Recette-Utilisateur,
,,FCCS PACIFICA-Recette-Visualiseur,FCCS PACIFICA-Recette-Visualiseur,
,,FCCS SIRCA-Production-Superutilisateur,FCCS SIRCA-Production-Superutilisateur,
,,FCCS SIRCA-Production-Utilisateur,FCCS SIRCA-Production-Utilisateur,
,,FCCS SIRCA-Production-Visualiseur,FCCS SIRCA-Production-Visualiseur,
,,FCCS SIRCA-Recette-Superutilisateur,FCCS SIRCA-Recette-Superutilisateur,
,,FCCS SIRCA-Recette-Utilisateur,FCCS SIRCA-Recette-Utilisateur,
,,FCCS SIRCA-Recette-Visualiseur,FCCS SIRCA-Recette-Visualiseur,
